# Copyright (c) 1993-2009 Microsoft Corp.
#
# This is a sample HOSTS file used by Microsoft TCP/IP for Windows.
#
# This file contains the mappings of IP addresses to host names. Each
# entry should be kept on an individual line. The IP address should
# be placed in the first column followed by the corresponding host name.
# The IP address and the host name should be separated by at least one
# space.
#
# Additionally, comments (such as these) may be inserted on individual
# lines or following the machine name denoted by a '#' symbol.
#
# For example:
#
#      102.54.94.97     rhino.acme.com          # source server
#       38.25.63.10     x.acme.com              # x client host

# localhost name resolution is handled within DNS itself.
#	0.0.0.0       localhost
#	::1             localhost

#SKYPE:

0.0.0.0 cds406.lcy.llnw.net
0.0.0.0 cds407.fra.llnw.net
0.0.0.0 cds416.lcy.llnw.net
0.0.0.0 cds426.lcy.llnw.net
0.0.0.0 cds447.lcy.llnw.net
0.0.0.0 cds458.lcy.llnw.net
0.0.0.0 cds459.lcy.llnw.net
0.0.0.0 cds461.lcy.llnw.net
0.0.0.0 cds468.lcy.llnw.net
0.0.0.0 cds469.lcy.llnw.net
0.0.0.0 cds471.lcy.llnw.net
0.0.0.0 cds484.lcy.llnw.net
0.0.0.0 cds489.lcy.llnw.net
0.0.0.0 cds843.lon.llnw.net
0.0.0.0 cds869.lon.llnw.net
0.0.0.0 compatexchange1.trafficmanager.net
0.0.0.0 cy2.settings.data.microsoft.com.akadns.net
0.0.0.0 db5.settings.data.microsoft.com.akadns.net
0.0.0.0 eu.vortex.data.microsoft.com
0.0.0.0 geo.settings.data.microsoft.com.akadns.net
0.0.0.0 gwx.windows.com
0.0.0.0 settings-win.data.microsoft.com
0.0.0.0 spynet2.microsoft.com
0.0.0.0 spyneteurope.microsoft.akadns.net
0.0.0.0 sqm.telemetry.microsoft.com
0.0.0.0 telecommand.telemetry.microsoft.com
0.0.0.0 teredo.ipv6.microsoft.com
0.0.0.0 vortex-win.data.microsoft.com
0.0.0.0 watson.microsoft.com

### hosts win7 update (07/05/2018 02:26)
### More info: https://github.com/crazy-max/WindowsSpyBlocker

0.0.0.0 00001b-1.l.windowsupdate.com
0.0.0.0 0000a3-1.l.windowsupdate.com
0.0.0.0 0000fe-1.l.windowsupdate.com
0.0.0.0 00015e-1.l.windowsupdate.com
0.0.0.0 0001a5-1.l.windowsupdate.com
0.0.0.0 0001bc-1.l.windowsupdate.com
0.0.0.0 0001d4-1.l.windowsupdate.com
0.0.0.0 0001ed-1.l.windowsupdate.com
0.0.0.0 000238-1.l.windowsupdate.com
0.0.0.0 00028e-1.l.windowsupdate.com
0.0.0.0 0002ae-1.l.windowsupdate.com
0.0.0.0 000371-1.l.windowsupdate.com
0.0.0.0 000396-1.l.windowsupdate.com
0.0.0.0 000418-1.l.windowsupdate.com
0.0.0.0 000452-1.l.windowsupdate.com
0.0.0.0 0004ee-1.l.windowsupdate.com
0.0.0.0 000646-1.l.windowsupdate.com
0.0.0.0 0006df-1.l.windowsupdate.com
0.0.0.0 0007be-1.l.windowsupdate.com
0.0.0.0 00081a-1.l.windowsupdate.com
0.0.0.0 000968-1.l.windowsupdate.com
0.0.0.0 0009a5-1.l.windowsupdate.com
0.0.0.0 0009b8-1.l.windowsupdate.com
0.0.0.0 000a55-1.l.windowsupdate.com
0.0.0.0 000afa-1.l.windowsupdate.com
0.0.0.0 000b3d-1.l.windowsupdate.com
0.0.0.0 000b78-1.l.windowsupdate.com
0.0.0.0 000bc0-1.l.windowsupdate.com
0.0.0.0 000bcf-1.l.windowsupdate.com
0.0.0.0 000bdf-1.l.windowsupdate.com
0.0.0.0 000c27-1.l.windowsupdate.com
0.0.0.0 000cb0-1.l.windowsupdate.com
0.0.0.0 000cca-1.l.windowsupdate.com
0.0.0.0 000d6d-1.l.windowsupdate.com
0.0.0.0 000f40-1.l.windowsupdate.com
0.0.0.0 001089-1.l.windowsupdate.com
0.0.0.0 0010bb-1.l.windowsupdate.com
0.0.0.0 0010e3-1.l.windowsupdate.com
0.0.0.0 001402-1.l.windowsupdate.com
0.0.0.0 0016c3-1.l.windowsupdate.com
0.0.0.0 0017f1-1.l.windowsupdate.com
0.0.0.0 00184b-1.l.windowsupdate.com
0.0.0.0 0018c4-1.l.windowsupdate.com
0.0.0.0 001949-1.l.windowsupdate.com
0.0.0.0 00196e-1.l.windowsupdate.com
0.0.0.0 00198e-1.l.windowsupdate.com
0.0.0.0 001a1f-1.l.windowsupdate.com
0.0.0.0 001a27-1.l.windowsupdate.com
0.0.0.0 001a92-1.l.windowsupdate.com
0.0.0.0 001bb5-1.l.windowsupdate.com
0.0.0.0 001c02-1.l.windowsupdate.com
0.0.0.0 001e0c-1.l.windowsupdate.com
0.0.0.0 001e4b-1.l.windowsupdate.com
0.0.0.0 001e9c-1.l.windowsupdate.com
0.0.0.0 001ec3-1.l.windowsupdate.com
0.0.0.0 0020a7-1.l.windowsupdate.com
0.0.0.0 0021a0-1.l.windowsupdate.com
0.0.0.0 00227f-1.l.windowsupdate.com
0.0.0.0 0022a7-1.l.windowsupdate.com
0.0.0.0 0022c1-1.l.windowsupdate.com
0.0.0.0 002384-1.l.windowsupdate.com
0.0.0.0 0023df-1.l.windowsupdate.com
0.0.0.0 00249b-1.l.windowsupdate.com
0.0.0.0 002518-1.l.windowsupdate.com
0.0.0.0 002557-1.l.windowsupdate.com
0.0.0.0 0025ea-1.l.windowsupdate.com
0.0.0.0 0025f2-1.l.windowsupdate.com
0.0.0.0 00268c-1.l.windowsupdate.com
0.0.0.0 au.download.windowsupdate.com
0.0.0.0 ctldl.windowsupdate.com
0.0.0.0 download.microsoft.com
0.0.0.0 download.windowsupdate.com
0.0.0.0 ds.download.windowsupdate.com
0.0.0.0 fe2.update.microsoft.com
0.0.0.0 fg.ds.b1.download.windowsupdate.com
0.0.0.0 microsoftwindowsupdate.net
0.0.0.0 windowsupdate.com
0.0.0.0 windowupdate.org
0.0.0.0 www.download.windowsupdate.com

### hosts win7 extra (03/03/2018 19:41)
### More info: https://github.com/crazy-max/WindowsSpyBlocker

0.0.0.0 activation.sls.microsoft.com
0.0.0.0 api.bing.com
0.0.0.0 co2.sls.microsoft.com
0.0.0.0 crl.microsoft.com
0.0.0.0 dmd.metaservices.microsoft.com
0.0.0.0 dns.msftncsi.com
0.0.0.0 g.bing.com
0.0.0.0 g.live.com
0.0.0.0 global.sam.msn.com
0.0.0.0 iecvlist.microsoft.com
#0.0.0.0 login.live.com
0.0.0.0 msftncsi.com
0.0.0.0 otf.msn.com
0.0.0.0 r20swj13mr.microsoft.com
0.0.0.0 t.urs.microsoft.com
0.0.0.0 time.windows.com
0.0.0.0 uhf.microsoft.com
0.0.0.0 urs.microsoft.com
0.0.0.0 validation.sls.microsoft.com
0.0.0.0 wdcp.microsoft.com
0.0.0.0 wdcpalt.microsoft.com
0.0.0.0 www.msftncsi.com
0.0.0.0 wscont.apps.microsoft.com
0.0.0.0 wscont.apps.microsoft.com.edgesuite.net

#Windows Media Center

0.0.0.0 windowsmedia.com 
0.0.0.0 services1.windowsmedia.com 
0.0.0.0 www.windowsmedia.com 
0.0.0.0 redir.metaservices.windowsmedia.com.akadns.net 
0.0.0.0 serviceswitching.metadata.windowsmedia.com.akadns.net

#WWH

0.0.0.0 statsfe2.update.microsoft.com.akadns.net
0.0.0.0 fe2.update.microsoft.com.akadns.net
0.0.0.0 s0.2mdn.net
0.0.0.0 survey.watson.microsoft.com
0.0.0.0 view.atdmt.com
0.0.0.0 watson.microsoft.com
0.0.0.0 watson.ppe.telemetry.microsoft.com
0.0.0.0 vortex.data.microsoft.com
0.0.0.0 vortex-win.data.microsoft.com
0.0.0.0 telecommand.telemetry.microsoft.com
0.0.0.0 telecommand.telemetry.microsoft.com.nsatc.net
0.0.0.0 oca.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com.nsatc.net
0.0.0.0 watson.telemetry.microsoft.com
0.0.0.0 watson.telemetry.microsoft.com.nsatc.net
0.0.0.0 redir.metaservices.microsoft.com
0.0.0.0 choice.microsoft.com
0.0.0.0 choice.microsoft.com.nsatc.net
0.0.0.0 wes.df.telemetry.microsoft.com
0.0.0.0 services.wes.df.telemetry.microsoft.com
0.0.0.0 sqm.df.telemetry.microsoft.com
0.0.0.0 telemetry.microsoft.com
0.0.0.0 telemetry.appex.bing.net
0.0.0.0 telemetry.urs.microsoft.com
0.0.0.0 settings-sandbox.data.microsoft.com
0.0.0.0 watson.live.com
0.0.0.0 statsfe2.ws.microsoft.com
0.0.0.0 corpext.msitadfs.glbdns2.microsoft.com
0.0.0.0 compatexchange.cloudapp.net
0.0.0.0 a-0001.a-msedge.net
0.0.0.0 sls.update.microsoft.com.akadns.net
0.0.0.0 diagnostics.support.microsoft.com
0.0.0.0 corp.sts.microsoft.com
0.0.0.0 statsfe1.ws.microsoft.com
0.0.0.0 feedback.windows.com
0.0.0.0 feedback.microsoft-hohm.com
0.0.0.0 feedback.search.microsoft.com
0.0.0.0 rad.msn.com
0.0.0.0 preview.msn.com
0.0.0.0 ad.doubleclick.net
0.0.0.0 ads.msn.com
0.0.0.0 ads1.msads.net
0.0.0.0 ads1.msn.com
0.0.0.0 a.ads1.msn.com
0.0.0.0 a.ads2.msn.com
0.0.0.0 adnexus.net
0.0.0.0 adnxs.com
0.0.0.0 az361816.vo.msecnd.net
0.0.0.0 az512334.vo.msecnd.net
0.0.0.0 ssw.live.com
0.0.0.0 ca.telemetry.microsoft.com
0.0.0.0 i1.services.social.microsoft.com
0.0.0.0 df.telemetry.microsoft.com
0.0.0.0 reports.wes.df.telemetry.microsoft.com
0.0.0.0 cs1.wpc.v0cdn.net
0.0.0.0 vortex-sandbox.data.microsoft.com
0.0.0.0 oca.telemetry.microsoft.com.nsatc.net
0.0.0.0 pre.footprintpredict.com
0.0.0.0 spynet2.microsoft.com
0.0.0.0 spynetalt.microsoft.com
0.0.0.0 fe3.delivery.dsp.mp.microsoft.com.nsatc.net
0.0.0.0 cache.datamart.windows.com
0.0.0.0 db3wns2011111.wns.windows.com
0.0.0.0 settings-win.data.microsoft.com
0.0.0.0 v10.vortex-win.data.microsoft.com
0.0.0.0 win10.ipv6.microsoft.com
0.0.0.0 i1.services.social.microsoft.com.nsatc.net
0.0.0.0 msnbot-207-46-194-33.search.msn.com
0.0.0.0 settings.data.microsof.com
0.0.0.0 telecommand.telemetry.microsoft.com.nsat-c.net
0.0.0.0 windowsupdate.com
0.0.0.0 watson.microsoft.com
0.0.0.0 msedge.net
0.0.0.0 a-msedge.net
0.0.0.0 a-0001.a-msedge.net
0.0.0.0 a-0002.a-msedge.net
0.0.0.0 a-0003.a-msedge.net
0.0.0.0 a-0004.a-msedge.net
0.0.0.0 a-0005.a-msedge.net
0.0.0.0 a-0006.a-msedge.net
0.0.0.0 a-0007.a-msedge.net
0.0.0.0 a-0008.a-msedge.net
0.0.0.0 a-0009.a-msedge.net
0.0.0.0 a1095.g2.akamai.net
0.0.0.0 ad.doubleclick.net
0.0.0.0 adnexus.net
0.0.0.0 adnxs.com
0.0.0.0 secure.adnxs.com
0.0.0.0 m.adnxs.com
0.0.0.0 ads1.msads.net
0.0.0.0 ads1.msn.com
0.0.0.0 ads2.msn.com
0.0.0.0 flex.msn.com
0.0.0.0 g.msn.com
0.0.0.0 h2.msn.com
0.0.0.0 h1.msn.com
0.0.0.0 a.ads1.msn.com
0.0.0.0 a.ads2.msn.com
0.0.0.0 a.ads2.msads.net
0.0.0.0 live.rads.msn.com
0.0.0.0 ads2.msn.com.c.footprint.net
0.0.0.0 aka-cdn-ns.adtech.de
0.0.0.0 az361816.vo.msecnd.net
0.0.0.0 az512334.vo.msecnd.net
0.0.0.0 bs.serving-sys.com
0.0.0.0 msntest.serving-sys.com
0.0.0.0 telemetry.microsoft.com
0.0.0.0 ca.telemetry.microsoft.com
0.0.0.0 c.msn.com
0.0.0.0 aidps.atdmt.com
0.0.0.0 view.atdmt.com
0.0.0.0 ec.atdmt.com
0.0.0.0 c.atdmt.com
0.0.0.0 db3aqu.atdmt.com
0.0.0.0 cdn.atdmt.com
0.0.0.0 choice.live.com
0.0.0.0 choice.microsoft.com
0.0.0.0 choice.microsoft.com.nsatc.net
0.0.0.0 compatexchange.cloudapp.net
0.0.0.0 corpext.msitadfs.glbdns2.microsoft.com
0.0.0.0 corp.sts.microsoft.com
0.0.0.0 cs1.wpc.v0cdn.net
0.0.0.0 df.telemetry.microsoft.com
0.0.0.0 e9946.g.akamaiedge.net
0.0.0.0 fe2.update.microsoft.com.akadns.net
0.0.0.0 fe3.delivery.dsp.mp.microsoft.com.nsatc.net
0.0.0.0 microsoft-hohm.com
0.0.0.0 feedback.microsoft-hohm.com
0.0.0.0 feedback.search.microsoft.com
0.0.0.0 feedback.windows.com
0.0.0.0 i1.services.social.microsoft.com
0.0.0.0 i1.services.social.microsoft.com.nsatc.net
0.0.0.0 i.s1.social.ms.akadns.net
0.0.0.0 lb1.www.ms.akadns.net
0.0.0.0 legacy-redirection-neurope-prod-hp.cloudapp.net
0.0.0.0 oca.telemetry.microsoft.com
0.0.0.0 oca.telemetry.microsoft.com.nsatc.net
0.0.0.0 onesettings-hk2.metron.live.com.nsatc.net
0.0.0.0 pre.footprintpredict.com
0.0.0.0 preview.msn.com
0.0.0.0 ads.msn.com
0.0.0.0 rad.msn.com
0.0.0.0 rad.live.com
0.0.0.0 b.rad.msn.com
0.0.0.0 b.ads2.msads.net
0.0.0.0 b.ads1.msn.com
0.0.0.0 ac3.msn.com
0.0.0.0 a.rad.msn.com
0.0.0.0 cds26.ams9.msecn.net
0.0.0.0 secure.flashtalking.com
0.0.0.0 static.2mdn.net
0.0.0.0 s0.2mdn.net
0.0.0.0 redirection.prod.cms.msn.com
0.0.0.0 redirection.prod.cms.msn.com.akadns.net
0.0.0.0 redir.metaservices.microsoft.com
0.0.0.0 redir.metaservices.microsoft.com.akadns.net
0.0.0.0 redir.metaservices.microsoft.com.edgesuite.net
0.0.0.0 wes.df.telemetry.microsoft.com
0.0.0.0 reports.wes.df.telemetry.microsoft.com
0.0.0.0 services.wes.df.telemetry.microsoft.com
0.0.0.0 settings.data.glbdns2.microsoft.com
0.0.0.0 settings.data.microsoft.com
0.0.0.0 settings-sandbox.data.glbdns2.microsoft.com
0.0.0.0 settings-sandbox.data.microsoft.com
0.0.0.0 settings-win.data.microsoft.com
0.0.0.0 schemas.microsoft.akadns.net
0.0.0.0 siweb.microsoft.akadns.net
0.0.0.0 sls.update.microsoft.com.akadns.net
0.0.0.0 spynet2.microsoft.akadns.net
0.0.0.0 spynet2.microsoft.com
0.0.0.0 spynetalt.microsoft.akadns.net
0.0.0.0 spynetalt.microsoft.com
0.0.0.0 spyneteurope.microsoft.akadns.net
0.0.0.0 sqm.df.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com.nsatc.net
0.0.0.0 ssw.live.com
0.0.0.0 ssw.live.com.nsatc.net
0.0.0.0 statsfe1.ws.microsoft.com
0.0.0.0 statsfe1.ws.microsoft.com.nsatc.net
0.0.0.0 statsfe2.update.microsoft.com.akadns.net
0.0.0.0 statsfe2.ws.microsoft.com
0.0.0.0 statsfe2.ws.microsoft.com.nsatc.net
0.0.0.0 support.msn.microsoft.akadns.net
0.0.0.0 survey.watson.microsoft.com
0.0.0.0 telecommand.telemetry.microsoft.com
0.0.0.0 telecommand.telemetry.microsoft.com.nsatc.net
0.0.0.0 telemetry.appex.bing.net
0.0.0.0 telemetry.appex.search.prod.ms.akadns.net
0.0.0.0 telemetry.urs.microsoft.com
0.0.0.0 t.urs.microsoft.com.nsatc.net
0.0.0.0 vortex.data.glbdns2.microsoft.com
0.0.0.0 vortex.data.metron.live.com.nsatc.net
0.0.0.0 vortex-bn2.metron.live.com.nsatc.net
0.0.0.0 vortex-cy2.metron.live.com.nsatc.net
0.0.0.0 vortex.data.microsoft.com
0.0.0.0 vortex-db5.metron.live.com.nsatc.net
0.0.0.0 vortex-sandbox.data.glbdns2.microsoft.com
0.0.0.0 vortex-sandbox.data.microsoft.com
0.0.0.0 vortex-win.data.metron.live.com.nsatc.net
0.0.0.0 vortex-win.data.microsoft.com
0.0.0.0 watson.live.com
0.0.0.0 watson.microsoft.com.nsatc.net
0.0.0.0 watson.ppe.telemetry.microsoft.com
0.0.0.0 watson.telemetry.microsoft.com
0.0.0.0 watson.telemetry.microsoft.com.nsatc.net
